,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Identifier_cat,Outlet_Identifier_cat
1902,295,12.857645184136183,Low Fat,5,255.3698,5,1985,Medium,Tier 3,Supermarket Type3,4819.7262,FDD29,OUT027
1903,912,5.785,Regular,6,260.7252,8,1997,Small,Tier 1,Supermarket Type1,6033.4796,FDS56,OUT046
1904,921,5.82,Regular,6,257.633,1,1987,High,Tier 3,Supermarket Type1,1537.998,FDT07,OUT013
1905,964,9.0,Low Fat,13,168.0816,3,2009,Medium,Tier 3,Supermarket Type2,2181.1608,FDT58,OUT018
1906,513,12.857645184136183,Regular,13,139.1838,5,1985,Medium,Tier 3,Supermarket Type3,4916.933,FDJ10,OUT027
1907,669,7.895,Regular,2,59.2588,6,2004,Small,Tier 2,Supermarket Type1,801.6232,FDN25,OUT035
1908,13,13.8,Low Fat,4,247.4802,7,2002,High,Tier 2,Supermarket Type1,1474.0812,DRC27,OUT045
1909,174,5.44,Low Fat,4,238.7538,9,1999,Medium,Tier 1,Supermarket Type1,3605.307,FDA38,OUT049
1910,649,16.7,Low Fat,6,109.8912,1,1987,High,Tier 3,Supermarket Type1,873.5296,FDM56,OUT013
1911,1349,19.85,Low Fat,9,46.9376,1,1987,High,Tier 3,Supermarket Type1,575.2512,NCI43,OUT013
1912,758,10.395,Regular,0,49.0008,2,2007,High,Tier 2,Supermarket Type1,860.2136,FDP36,OUT017
1913,111,12.857645184136183,Low Fat,14,40.5138,4,1985,Small,Tier 1,Grocery Store,40.6138,DRK49,OUT019
1914,1092,12.857645184136183,Regular,6,87.7882,4,1985,Small,Tier 1,Grocery Store,515.3292,FDW32,OUT019
1915,1522,15.1,Low Fat,9,237.9248,9,1999,Medium,Tier 1,Supermarket Type1,2133.2232,NCW18,OUT049
1916,806,20.5,Low Fat,6,121.2756,3,2009,Medium,Tier 3,Supermarket Type2,2181.1608,FDQ44,OUT018
1917,608,15.6,Low Fat,13,124.9704,7,2002,High,Tier 2,Supermarket Type1,2253.0672,FDL45,OUT045
1918,7,16.75,Regular,14,39.9822,6,2004,Small,Tier 2,Supermarket Type1,746.3618,DRB48,OUT035
1919,801,10.85,Low Fat,13,104.9622,3,2009,Medium,Tier 3,Supermarket Type2,1482.0708,FDQ34,OUT018
1920,440,16.2,Regular,5,98.6726,2,2007,High,Tier 2,Supermarket Type1,1272.3438,FDH17,OUT017
1921,657,7.72,Regular,6,116.6466,0,1998,High,Tier 3,Grocery Store,117.8466,FDN08,OUT010
1922,577,12.857645184136183,Low Fat,13,120.044,5,1985,Medium,Tier 3,Supermarket Type3,4434.228,FDK57,OUT027
1923,548,5.785,Regular,13,180.466,1,1987,High,Tier 3,Supermarket Type1,719.064,FDK10,OUT013
1924,604,12.857645184136183,Regular,4,181.6318,5,1985,Medium,Tier 3,Supermarket Type3,1263.0226,FDL39,OUT027
1925,750,15.2,Low Fat,3,216.3824,6,2004,Small,Tier 2,Supermarket Type1,6114.7072,FDP25,OUT035
1926,239,13.1,Regular,5,196.3768,6,2004,Small,Tier 2,Supermarket Type1,2167.8448,FDC05,OUT035
1927,175,6.32,Low Fat,10,41.0822,1,1987,High,Tier 3,Supermarket Type1,942.7728,FDA39,OUT013
1928,1223,17.85,Low Fat,13,124.902,1,1987,High,Tier 3,Supermarket Type1,1897.53,FDZ10,OUT013
1929,546,12.857645184136183,Regular,6,101.2016,5,1985,Medium,Tier 3,Supermarket Type3,2631.2416,FDK08,OUT027
1930,20,13.85,Low Fat,14,141.7154,1,1987,High,Tier 3,Supermarket Type1,2978.1234,DRD24,OUT013
1931,61,5.78,Low Fat,14,147.3102,3,2009,Medium,Tier 3,Supermarket Type2,2332.9632,DRG48,OUT018
1932,463,12.857645184136183,Regular,5,62.1194,4,1985,Small,Tier 1,Grocery Store,123.8388,FDH52,OUT019
1933,888,6.885,Regular,3,108.5228,7,2002,High,Tier 2,Supermarket Type1,1989.4104,FDS25,OUT045
1934,1339,8.42,Low Fat,9,216.0192,6,2004,Small,Tier 2,Supermarket Type1,2372.9112,NCH43,OUT035
1935,102,7.63,Low Fat,14,94.6436,2,2007,High,Tier 2,Supermarket Type1,1607.2412,DRK01,OUT017
1936,317,10.5,Regular,15,80.896,2,2007,High,Tier 2,Supermarket Type1,958.752,FDD59,OUT017
1937,209,7.575,Low Fat,4,197.7768,0,1998,High,Tier 3,Grocery Store,197.0768,FDB27,OUT010
1938,705,13.5,Regular,13,81.396,1,1987,High,Tier 3,Supermarket Type1,1198.44,FDO22,OUT013
1939,299,12.15,Low Fat,15,120.244,7,2002,High,Tier 2,Supermarket Type1,2277.036,FDD35,OUT045
1940,820,5.405,Regular,3,197.7742,6,2004,Small,Tier 2,Supermarket Type1,796.2968,FDR01,OUT035
1941,1279,12.857645184136183,Low Fat,9,262.291,4,1985,Small,Tier 1,Grocery Store,525.982,NCB31,OUT019
1942,258,7.435,Low Fat,15,208.7638,8,1997,Small,Tier 1,Supermarket Type1,3105.957,FDC35,OUT046
1943,886,4.635,Low Fat,1,127.0994,7,2002,High,Tier 2,Supermarket Type1,2826.9868,FDS23,OUT045
1944,256,8.96,Regular,6,197.7768,7,2002,High,Tier 2,Supermarket Type1,3153.2288,FDC33,OUT045
1945,1316,18.35,Low Fat,9,191.9504,3,2009,Medium,Tier 3,Supermarket Type2,5369.0112,NCF18,OUT018
1946,639,11.65,Regular,0,173.5422,9,1999,Medium,Tier 1,Supermarket Type1,3448.844,FDM36,OUT049
1947,537,10.5,Low Fat,5,121.3098,9,1999,Medium,Tier 1,Supermarket Type1,1446.1176,FDJ53,OUT049
1948,1378,7.39,Low Fat,8,140.7812,3,2009,Medium,Tier 3,Supermarket Type2,1567.2932,NCL17,OUT018
1949,1089,12.857645184136183,Regular,10,154.5314,5,1985,Medium,Tier 3,Supermarket Type3,1396.1826,FDW27,OUT027
1950,168,14.0,Low Fat,6,215.7192,8,1997,Small,Tier 1,Supermarket Type1,1078.596,FDA32,OUT046
1951,147,18.5,Regular,4,145.8102,0,1998,High,Tier 3,Grocery Store,291.6204,FDA03,OUT010
1952,1073,13.65,Regular,13,79.6302,7,2002,High,Tier 2,Supermarket Type1,554.6114,FDW09,OUT045
1953,658,14.15,Low Fat,13,244.1828,7,2002,High,Tier 2,Supermarket Type1,731.0484,FDN09,OUT045
1954,621,10.1,Regular,6,225.6088,2,2007,High,Tier 2,Supermarket Type1,4250.4672,FDM08,OUT017
1955,1117,10.1,Low Fat,3,117.615,3,2009,Medium,Tier 3,Supermarket Type2,1514.695,FDX01,OUT018
1956,136,13.85,Low Fat,7,115.0492,9,1999,Medium,Tier 1,Supermarket Type1,4054.722,DRO35,OUT049
1957,892,13.1,Regular,6,178.5318,7,2002,High,Tier 2,Supermarket Type1,3067.3406,FDS31,OUT045
1958,1402,18.75,Low Fat,8,104.828,9,1999,Medium,Tier 1,Supermarket Type1,2343.616,NCM53,OUT049
1959,479,14.0,Regular,5,52.064,1,1987,High,Tier 3,Supermarket Type1,852.224,FDI16,OUT013
1960,44,16.1,Low Fat,14,192.8846,9,1999,Medium,Tier 1,Supermarket Type1,5350.3688,DRF36,OUT049
1961,1107,12.857645184136183,Low Fat,3,179.9002,5,1985,Medium,Tier 3,Supermarket Type3,4119.3046,FDW49,OUT027
1962,233,12.857645184136183,Regular,13,141.7154,4,1985,Small,Tier 1,Grocery Store,425.4462,FDB58,OUT019
1963,1355,12.35,Low Fat,9,119.8124,7,2002,High,Tier 2,Supermarket Type1,2133.2232,NCJ18,OUT045
1964,612,20.7,Regular,4,215.0876,7,2002,High,Tier 2,Supermarket Type1,5145.3024,FDL51,OUT045
1965,870,7.825,Low Fat,10,62.7826,3,2009,Medium,Tier 3,Supermarket Type2,1162.4868,FDS03,OUT018
1966,1435,12.857645184136183,Low Fat,9,53.6614,4,1985,Small,Tier 1,Grocery Store,165.7842,NCO54,OUT019
1967,182,12.1,Low Fat,0,222.0114,7,2002,High,Tier 2,Supermarket Type1,3547.3824,FDA48,OUT045
1968,1364,12.857645184136183,Low Fat,9,123.1756,5,1985,Medium,Tier 3,Supermarket Type3,1211.756,NCK06,OUT027
1969,1558,14.65,Low Fat,9,162.4552,7,2002,High,Tier 2,Supermarket Type1,2274.3728,NCZ54,OUT045
1970,1099,12.857645184136183,Regular,10,177.237,5,1985,Medium,Tier 3,Supermarket Type3,4763.799,FDW39,OUT027
1971,474,20.75,Regular,12,238.188,8,1997,Small,Tier 1,Supermarket Type1,5033.448,FDI09,OUT046
1972,1421,11.15,Low Fat,11,65.0142,9,1999,Medium,Tier 1,Supermarket Type1,1120.5414,NCO02,OUT049
1973,39,12.1,Low Fat,14,144.3444,9,1999,Medium,Tier 1,Supermarket Type1,2612.5992,DRF13,OUT049
1974,556,11.6,Regular,2,168.3474,2,2007,High,Tier 2,Supermarket Type1,4548.0798,FDK25,OUT017
1975,1245,17.6,Low Fat,4,173.7422,2,2007,High,Tier 2,Supermarket Type1,5863.0348,FDZ38,OUT017
1976,1461,12.857645184136183,Low Fat,9,127.9678,4,1985,Small,Tier 1,Grocery Store,254.3356,NCQ42,OUT019
1977,626,12.857645184136183,Low Fat,3,108.9254,5,1985,Medium,Tier 3,Supermarket Type3,2713.135,FDM14,OUT027
1978,248,10.65,Low Fat,6,54.0272,8,1997,Small,Tier 1,Supermarket Type1,447.4176,FDC20,OUT046
1979,1092,18.35,Regular,6,86.2882,3,2009,Medium,Tier 3,Supermarket Type2,1631.8758,FDW32,OUT018
1980,788,7.35,Regular,6,241.3512,7,2002,High,Tier 2,Supermarket Type1,5331.7264,FDQ19,OUT045
1981,321,18.2,Low Fat,6,146.4734,9,1999,Medium,Tier 1,Supermarket Type1,3563.3616,FDE08,OUT049
1982,254,8.39,Regular,5,116.0176,9,1999,Medium,Tier 1,Supermarket Type1,1603.2464,FDC29,OUT049
1983,1058,14.3,Low Fat,4,121.973,1,1987,High,Tier 3,Supermarket Type1,2709.806,FDV50,OUT013
1984,363,10.195,Regular,15,239.8538,2,2007,High,Tier 2,Supermarket Type1,4086.0146,FDF11,OUT017
1985,658,14.15,Low Fat,13,245.3828,3,2009,Medium,Tier 3,Supermarket Type2,1705.7796,FDN09,OUT018
1986,59,16.2,Low Fat,14,153.7972,7,2002,High,Tier 2,Supermarket Type1,1402.1748,DRG37,OUT045
1987,1510,12.857645184136183,Low Fat,9,195.2478,5,1985,Medium,Tier 3,Supermarket Type3,7168.6686,NCV06,OUT027
1988,91,12.65,Low Fat,14,159.9578,0,1998,High,Tier 3,Grocery Store,962.7468,DRJ13,OUT010
1989,42,12.857645184136183,Low Fat,14,37.319,5,1985,Medium,Tier 3,Supermarket Type3,1281.665,DRF25,OUT027
1990,352,10.895,Low Fat,5,107.228,0,1998,High,Tier 3,Grocery Store,426.112,FDE53,OUT010
1991,873,5.735,Low Fat,6,176.337,8,1997,Small,Tier 1,Supermarket Type1,1764.37,FDS08,OUT046
1992,706,17.85,Low Fat,1,93.7436,2,2007,High,Tier 2,Supermarket Type1,1701.7848,FDO23,OUT017
1993,921,5.82,Regular,6,255.433,8,1997,Small,Tier 1,Supermarket Type1,4357.661,FDT07,OUT046
1994,1533,10.0,Low Fat,8,146.9102,6,2004,Small,Tier 2,Supermarket Type1,3207.8244,NCX29,OUT035
1995,406,17.6,Regular,13,38.119,6,2004,Small,Tier 2,Supermarket Type1,732.38,FDG22,OUT035
1996,98,12.857645184136183,Low Fat,7,173.308,5,1985,Medium,Tier 3,Supermarket Type3,6751.212,DRJ47,OUT027
1997,606,10.1,Low Fat,10,77.567,1,1987,High,Tier 3,Supermarket Type1,306.268,FDL43,OUT013
1998,1248,12.857645184136183,Regular,6,241.2512,5,1985,Medium,Tier 3,Supermarket Type3,8239.9408,FDZ43,OUT027
1999,1231,17.6,Regular,13,97.241,8,1997,Small,Tier 1,Supermarket Type1,193.082,FDZ21,OUT046
2000,535,8.645,Low Fat,3,53.3982,6,2004,Small,Tier 2,Supermarket Type1,1209.7586,FDJ50,OUT035
2001,1045,19.5,Low Fat,1,155.9314,8,1997,Small,Tier 1,Supermarket Type1,3878.285,FDV35,OUT046
2002,1112,7.68,Low Fat,6,190.8162,2,2007,High,Tier 2,Supermarket Type1,2693.8268,FDW56,OUT017
2003,116,15.7,Low Fat,7,43.277,7,2002,High,Tier 2,Supermarket Type1,649.155,DRL35,OUT045
2004,820,5.405,Regular,3,199.0742,7,2002,High,Tier 2,Supermarket Type1,4777.7808,FDR01,OUT045
2005,887,20.85,Regular,0,86.9514,7,2002,High,Tier 2,Supermarket Type1,1416.8224,FDS24,OUT045
2006,1378,7.39,Low Fat,8,140.4812,2,2007,High,Tier 2,Supermarket Type1,2422.1804,NCL17,OUT017
2007,878,6.465,Low Fat,3,263.1884,3,2009,Medium,Tier 3,Supermarket Type2,2914.8724,FDS13,OUT018
2008,234,18.25,Low Fat,13,197.6084,7,2002,High,Tier 2,Supermarket Type1,2380.9008,FDB59,OUT045
2009,1088,12.857645184136183,Regular,4,222.3772,5,1985,Medium,Tier 3,Supermarket Type3,1556.6404,FDW26,OUT027
2010,783,12.857645184136183,Low Fat,0,230.001,4,1985,Small,Tier 1,Grocery Store,689.103,FDQ12,OUT019
2011,1165,10.195,Low Fat,1,31.9558,1,1987,High,Tier 3,Supermarket Type1,373.5138,FDX59,OUT013
2012,602,15.1,Low Fat,0,91.583,2,2007,High,Tier 2,Supermarket Type1,539.298,FDL36,OUT017
2013,814,13.65,Regular,6,114.8834,3,2009,Medium,Tier 3,Supermarket Type2,1612.5676,FDQ55,OUT018
2014,1054,12.857645184136183,Low Fat,13,141.418,4,1985,Small,Tier 1,Grocery Store,559.272,FDV46,OUT019
2015,635,12.857645184136183,Low Fat,5,181.466,4,1985,Small,Tier 1,Grocery Store,179.766,FDM28,OUT019
2016,950,5.985,Low Fat,5,125.2678,2,2007,High,Tier 2,Supermarket Type1,763.0068,FDT40,OUT017
2017,90,9.5,Low Fat,7,189.9872,0,1998,High,Tier 3,Grocery Store,756.3488,DRJ11,OUT010
2018,311,11.15,Low Fat,4,44.7744,7,2002,High,Tier 2,Supermarket Type1,181.0976,FDD51,OUT045
2019,1491,12.857645184136183,Low Fat,8,188.6214,5,1985,Medium,Tier 3,Supermarket Type3,6029.4848,NCT17,OUT027
2020,1521,18.0,Low Fat,8,126.8994,8,1997,Small,Tier 1,Supermarket Type1,3083.9856,NCW17,OUT046
2021,1543,12.857645184136183,Low Fat,8,56.293,4,1985,Small,Tier 1,Grocery Store,113.186,NCY29,OUT019
2022,71,16.2,Low Fat,14,73.4696,1,1987,High,Tier 3,Supermarket Type1,2087.9488,DRH36,OUT013
2023,203,13.15,Low Fat,5,179.7976,9,1999,Medium,Tier 1,Supermarket Type1,2535.3664,FDB17,OUT049
2024,1266,20.6,Low Fat,8,148.4392,1,1987,High,Tier 3,Supermarket Type1,1789.6704,NCA17,OUT013
2025,939,11.395,Regular,10,234.6616,8,1997,Small,Tier 1,Supermarket Type1,4687.232,FDT27,OUT046
2026,845,6.78,Regular,6,229.5694,1,1987,High,Tier 3,Supermarket Type1,3425.541,FDR32,OUT013
2027,418,8.84,Regular,5,110.7228,9,1999,Medium,Tier 1,Supermarket Type1,1657.842,FDG41,OUT049
2028,1137,16.7,Low Fat,3,184.0292,8,1997,Small,Tier 1,Supermarket Type1,3101.2964,FDX25,OUT046
2029,426,13.3,Regular,6,63.2536,2,2007,High,Tier 2,Supermarket Type1,1347.5792,FDG56,OUT017
2030,663,12.6,Regular,5,102.399,2,2007,High,Tier 2,Supermarket Type1,2270.378,FDN16,OUT017
2031,308,7.6,Regular,15,172.3448,6,2004,Small,Tier 2,Supermarket Type1,2556.672,FDD47,OUT035
2032,829,12.6,Regular,0,170.5764,1,1987,High,Tier 3,Supermarket Type1,3779.0808,FDR12,OUT013
2033,894,6.67,Regular,13,90.0514,9,1999,Medium,Tier 1,Supermarket Type1,1505.3738,FDS33,OUT049
2034,1293,10.695,Low Fat,9,36.7848,6,2004,Small,Tier 2,Supermarket Type1,782.9808,NCC55,OUT035
2035,174,12.857645184136183,Low Fat,4,241.1538,4,1985,Small,Tier 1,Grocery Store,480.7076,FDA38,OUT019
2036,568,16.6,Low Fat,6,173.5738,6,2004,Small,Tier 2,Supermarket Type1,1911.5118,FDK44,OUT035
2037,1260,10.0,Regular,13,127.2994,8,1997,Small,Tier 1,Supermarket Type1,642.497,FDZ57,OUT046
2038,1408,19.1,Low Fat,11,185.2608,2,2007,High,Tier 2,Supermarket Type1,1470.0864,NCN14,OUT017
2039,1274,17.6,Low Fat,8,161.792,0,1998,High,Tier 3,Grocery Store,159.792,NCB06,OUT010
2040,113,19.5,Regular,14,235.3958,9,1999,Medium,Tier 1,Supermarket Type1,6309.7866,DRL01,OUT049
2041,974,10.1,Regular,13,38.4848,9,1999,Medium,Tier 1,Supermarket Type1,633.8416,FDU10,OUT049
2042,1484,8.6,Low Fat,9,112.6176,3,2009,Medium,Tier 3,Supermarket Type2,3091.9752,NCS38,OUT018
2043,787,19.7,Low Fat,5,109.1912,1,1987,High,Tier 3,Supermarket Type1,1637.868,FDQ16,OUT013
2044,900,15.35,Low Fat,5,37.219,2,2007,High,Tier 2,Supermarket Type1,805.618,FDS40,OUT017
2045,340,5.26,Regular,0,162.6868,2,2007,High,Tier 2,Supermarket Type1,3767.0964,FDE36,OUT017
2046,1041,9.8,Low Fat,6,175.337,7,2002,High,Tier 2,Supermarket Type1,529.311,FDV31,OUT045
2047,1300,16.5,Low Fat,8,39.3506,7,2002,High,Tier 2,Supermarket Type1,645.1602,NCD42,OUT045
2048,932,10.5,Low Fat,6,40.1164,6,2004,Small,Tier 2,Supermarket Type1,849.5608,FDT20,OUT035
2049,1411,13.1,Low Fat,11,191.353,3,2009,Medium,Tier 3,Supermarket Type2,1328.271,NCN19,OUT018
2050,1083,12.857645184136183,Regular,13,98.8358,5,1985,Medium,Tier 3,Supermarket Type3,2010.716,FDW21,OUT027
2051,377,9.3,Regular,13,196.5084,7,2002,High,Tier 2,Supermarket Type1,4364.9848,FDF34,OUT045
2052,487,14.3,Low Fat,5,79.6302,7,2002,High,Tier 2,Supermarket Type1,792.302,FDI28,OUT045
2053,419,12.857645184136183,Low Fat,6,55.7298,5,1985,Medium,Tier 3,Supermarket Type3,2804.3496,FDG44,OUT027
2054,49,10.8,Low Fat,14,240.3564,7,2002,High,Tier 2,Supermarket Type1,4290.4152,DRF60,OUT045
2055,802,12.857645184136183,Regular,0,38.1848,4,1985,Small,Tier 1,Grocery Store,37.2848,FDQ36,OUT019
2056,757,12.85,Low Fat,13,157.763,3,2009,Medium,Tier 3,Supermarket Type2,2659.871,FDP34,OUT018
2057,159,6.78,Low Fat,6,184.624,6,2004,Small,Tier 2,Supermarket Type1,5406.296,FDA20,OUT035
2058,344,9.195,Regular,5,85.5566,6,2004,Small,Tier 2,Supermarket Type1,930.1226,FDE41,OUT035
2059,110,7.905,Low Fat,7,229.2694,8,1997,Small,Tier 1,Supermarket Type1,1826.9552,DRK47,OUT046
2060,1174,17.6,Low Fat,13,115.4176,2,2007,High,Tier 2,Supermarket Type1,1145.176,FDY10,OUT017
2061,469,15.7,Regular,3,112.0202,2,2007,High,Tier 2,Supermarket Type1,3150.5656,FDI02,OUT017
2062,344,12.857645184136183,Regular,5,83.7566,4,1985,Small,Tier 1,Grocery Store,253.6698,FDE41,OUT019
2063,1257,19.2,Low Fat,5,112.7886,1,1987,High,Tier 3,Supermarket Type1,1779.0176,FDZ52,OUT013
2064,423,7.405,Low Fat,3,92.7146,3,2009,Medium,Tier 3,Supermarket Type2,1185.7898,FDG50,OUT018
2065,113,19.5,Regular,14,233.9958,0,1998,High,Tier 3,Grocery Store,467.3916,DRL01,OUT010
2066,1056,9.195,Regular,0,78.1644,2,2007,High,Tier 2,Supermarket Type1,1414.1592,FDV48,OUT017
2067,858,11.65,Low Fat,0,151.1024,7,2002,High,Tier 2,Supermarket Type1,1518.024,FDR48,OUT045
2068,1302,21.1,Low Fat,9,146.1786,1,1987,High,Tier 3,Supermarket Type1,3034.0506,NCD54,OUT013
2069,1498,8.695,Low Fat,9,93.2094,2,2007,High,Tier 2,Supermarket Type1,666.4658,NCT54,OUT017
2070,431,7.27,Regular,3,89.0488,1,1987,High,Tier 3,Supermarket Type1,181.0976,FDH02,OUT013
2071,1301,8.85,Low Fat,9,105.6964,1,1987,High,Tier 3,Supermarket Type1,210.3928,NCD43,OUT013
2072,347,18.6,Low Fat,13,152.9366,6,2004,Small,Tier 2,Supermarket Type1,1662.5026,FDE46,OUT035
2073,1432,12.857645184136183,Low Fat,9,144.6102,5,1985,Medium,Tier 3,Supermarket Type3,3791.0652,NCO42,OUT027
2074,852,9.1,Regular,5,78.7618,9,1999,Medium,Tier 1,Supermarket Type1,402.809,FDR40,OUT049
2075,407,7.975,Low Fat,0,82.425,9,1999,Medium,Tier 1,Supermarket Type1,749.025,FDG24,OUT049
2076,1426,10.0,Low Fat,8,121.444,2,2007,High,Tier 2,Supermarket Type1,2516.724,NCO17,OUT017
2077,370,6.865,Low Fat,13,214.0218,8,1997,Small,Tier 1,Supermarket Type1,5556.7668,FDF22,OUT046
2078,276,16.7,Regular,15,65.5168,6,2004,Small,Tier 2,Supermarket Type1,1022.6688,FDC59,OUT035
2079,1542,7.285,Low Fat,9,174.9054,0,1998,High,Tier 3,Grocery Store,525.3162,NCY18,OUT010
2080,34,8.43,Low Fat,14,196.2768,7,2002,High,Tier 2,Supermarket Type1,1576.6144,DRE48,OUT045
2081,1066,20.2,Regular,0,194.611,0,1998,High,Tier 3,Grocery Store,392.822,FDV60,OUT010
2082,231,8.75,Regular,6,187.6556,9,1999,Medium,Tier 1,Supermarket Type1,5257.1568,FDB56,OUT049
2083,591,12.857645184136183,Low Fat,6,111.1886,5,1985,Medium,Tier 3,Supermarket Type3,4447.544,FDL20,OUT027
2084,1557,12.857645184136183,Low Fat,8,190.4214,5,1985,Medium,Tier 3,Supermarket Type3,5652.642,NCZ53,OUT027
2085,124,9.695,Low Fat,7,177.5344,6,2004,Small,Tier 2,Supermarket Type1,3033.3848,DRM35,OUT035
2086,1030,7.75,Regular,5,35.2558,8,1997,Small,Tier 1,Supermarket Type1,780.9834,FDV16,OUT046
2087,1181,19.75,Low Fat,6,115.8466,1,1987,High,Tier 3,Supermarket Type1,2474.7786,FDY19,OUT013
2088,1176,9.8,Regular,0,50.8008,0,1998,High,Tier 3,Grocery Store,101.2016,FDY12,OUT010
2089,627,11.8,Regular,10,152.4366,2,2007,High,Tier 2,Supermarket Type1,3929.5516,FDM15,OUT017
2090,740,9.8,Regular,0,36.8874,9,1999,Medium,Tier 1,Supermarket Type1,564.5984,FDP12,OUT049
2091,933,7.42,Low Fat,13,248.0092,1,1987,High,Tier 3,Supermarket Type1,1245.046,FDT21,OUT013
2092,35,20.75,Low Fat,14,151.8024,0,1998,High,Tier 3,Grocery Store,151.8024,DRE49,OUT010
2093,663,12.6,Regular,5,103.999,9,1999,Medium,Tier 1,Supermarket Type1,825.592,FDN16,OUT049
2094,319,19.75,Regular,5,179.566,3,2009,Medium,Tier 3,Supermarket Type2,2696.49,FDE04,OUT018
2095,270,10.895,Regular,4,122.973,1,1987,High,Tier 3,Supermarket Type1,1231.73,FDC51,OUT013
2096,693,16.6,Low Fat,5,53.5614,3,2009,Medium,Tier 3,Supermarket Type2,939.4438,FDO04,OUT018
2097,304,6.765,Regular,5,105.3306,2,2007,High,Tier 2,Supermarket Type1,2090.612,FDD41,OUT017
2098,497,13.1,Low Fat,6,175.8054,7,2002,High,Tier 2,Supermarket Type1,2801.6864,FDI45,OUT045
2099,1276,12.857645184136183,Low Fat,9,89.5514,5,1985,Medium,Tier 3,Supermarket Type3,3364.9532,NCB18,OUT027
2100,1109,6.155,Regular,10,213.956,2,2007,High,Tier 2,Supermarket Type1,2343.616,FDW51,OUT017
2101,1365,10.65,Low Fat,11,164.1526,8,1997,Small,Tier 1,Supermarket Type1,1808.9786,NCK07,OUT046
2102,1250,12.857645184136183,Low Fat,13,197.9084,4,1985,Small,Tier 1,Grocery Store,992.042,FDZ45,OUT019
2103,217,20.25,Regular,0,241.8538,8,1997,Small,Tier 1,Supermarket Type1,5768.4912,FDB37,OUT046
2104,1263,20.5,Low Fat,0,106.0596,6,2004,Small,Tier 2,Supermarket Type1,970.7364,FDZ60,OUT035
2105,656,11.8,Regular,5,176.8344,1,1987,High,Tier 3,Supermarket Type1,3568.688,FDN04,OUT013
2106,1105,15.0,Low Fat,1,120.0414,1,1987,High,Tier 3,Supermarket Type1,3533.4006,FDW47,OUT013
2107,203,13.15,Low Fat,5,180.7976,1,1987,High,Tier 3,Supermarket Type1,6157.3184,FDB17,OUT013
2108,863,15.5,Regular,6,198.9768,3,2009,Medium,Tier 3,Supermarket Type2,4729.8432,FDR56,OUT018
2109,1011,12.857645184136183,Low Fat,6,260.6278,5,1985,Medium,Tier 3,Supermarket Type3,9371.8008,FDU55,OUT027
2110,455,11.6,Regular,5,81.7276,2,2007,High,Tier 2,Supermarket Type1,1949.4624,FDH40,OUT017
2111,433,14.35,Regular,5,231.8984,9,1999,Medium,Tier 1,Supermarket Type1,4633.968,FDH05,OUT049
2112,1164,13.15,Low Fat,13,182.695,7,2002,High,Tier 2,Supermarket Type1,4211.185,FDX58,OUT045
2113,270,10.895,Regular,4,121.673,6,2004,Small,Tier 2,Supermarket Type1,1970.768,FDC51,OUT035
2114,1466,10.1,Low Fat,8,199.5084,2,2007,High,Tier 2,Supermarket Type1,3372.9428,NCR05,OUT017
2115,70,18.7,Low Fat,14,50.8324,2,2007,High,Tier 2,Supermarket Type1,934.7832,DRH25,OUT017
2116,1476,12.15,Low Fat,8,224.0404,9,1999,Medium,Tier 1,Supermarket Type1,3375.606,NCR53,OUT049
2117,871,10.195,Regular,5,138.6838,8,1997,Small,Tier 1,Supermarket Type1,2388.2246,FDS04,OUT046
2118,237,8.575,Regular,4,193.3794,1,1987,High,Tier 3,Supermarket Type1,780.3176,FDC03,OUT013
2119,763,16.5,Regular,6,102.2332,0,1998,High,Tier 3,Grocery Store,102.5332,FDP44,OUT010
2120,551,9.065,Low Fat,5,95.3094,3,2009,Medium,Tier 3,Supermarket Type2,1713.7692,FDK16,OUT018
2121,1288,16.6,Low Fat,9,178.7344,8,1997,Small,Tier 1,Supermarket Type1,1605.9096,NCC30,OUT046
2122,1235,11.6,Regular,4,238.5222,0,1998,High,Tier 3,Grocery Store,717.0666,FDZ26,OUT010
2123,1435,19.5,Low Fat,9,57.1614,3,2009,Medium,Tier 3,Supermarket Type2,1381.535,NCO54,OUT018
2124,1445,16.6,Low Fat,8,106.2596,0,1998,High,Tier 3,Grocery Store,215.7192,NCP41,OUT010
2125,32,11.85,Low Fat,4,98.0726,9,1999,Medium,Tier 1,Supermarket Type1,1076.5986,DRE27,OUT049
2126,781,12.85,Low Fat,13,170.6422,1,1987,High,Tier 3,Supermarket Type1,2931.5174,FDQ10,OUT013
2127,1506,9.0,Low Fat,9,170.0474,9,1999,Medium,Tier 1,Supermarket Type1,4211.185,NCU42,OUT049
2128,1151,5.655,Low Fat,6,165.85,6,2004,Small,Tier 2,Supermarket Type1,1830.95,FDX43,OUT035
2129,1297,8.93,Low Fat,9,55.1614,8,1997,Small,Tier 1,Supermarket Type1,939.4438,NCD19,OUT046
2130,1350,15.2,Low Fat,9,108.1912,6,2004,Small,Tier 2,Supermarket Type1,1856.2504,NCI54,OUT035
2131,898,7.655,Low Fat,3,114.1492,0,1998,High,Tier 3,Grocery Store,115.8492,FDS37,OUT010
